team_id,cleansheets,team_title
281,12,Manchester City
631,11,Chelsea FC
31,11,Liverpool FC
148,10,Tottenham Hotspur
5,10,AC Milan
667,9,RC Strasbourg Alsace
6195,8,SSC Napoli
12,8,AS Roma
398,7,SS Lazio
11,7,Arsenal FC
430,7,ACF Fiorentina
46,6,Inter Milan
1025,6,Bologna FC 1909
985,6,Manchester United
417,6,OGC Nice
762,6,Newcastle United
244,6,Olympique Marseille
3522,5,Spezia Calcio
1095,5,ESTAC Troyes
1041,5,Olympique Lyon
416,5,Torino FC
543,5,Wolverhampton Wanderers
873,5,Crystal Palace
273,5,Stade Rennais FC
1082,4,LOSC Lille
180,4,Southampton FC
1003,4,Leicester City
379,4,West Ham United
969,4,Montpellier HSC
1158,4,FC Lorient
29,4,Everton FC
3524,4,Clermont Foot 63
583,4,Paris Saint-Germain
506,4,Juventus FC
405,4,Aston Villa
162,4,AS Monaco
749,3,FC Empoli
347,3,FC Metz
1237,3,Brighton & Hove Albion
399,3,Leeds United
1420,3,Angers SCO
3911,3,Stade Brestois 29
1421,3,Stade Reims
618,3,AS Saint-Ã‰tienne
995,3,FC Nantes
826,3,RC Lens
800,3,Atalanta BC
1132,3,Burnley FC
380,2,US Salernitana 1919
1148,2,Brentford FC
1038,2,UC Sampdoria
252,2,Genoa CFC
607,2,Venezia FC
410,2,Udinese Calcio
1123,1,Norwich City
1390,1,Cagliari Calcio
1010,1,Watford FC
276,1,Hellas Verona
6574,1,US Sassuolo
